French,English
histoire,history
seulement,only
pensais,thought
aide,help
frère,brother
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
tellement,so much
enfant,child
point,point
venu,came
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
